MeshA	MeshB	FacesA	FacesB	Pairs	Time_ms	Mpairs_s	Intersected
Allen_amygdalohippocampal_area_L.off	Allen_cerebral_aqueduct_L.off	106	76	8056	0.022215	362.638	0	0
Allen_amygdalohippocampal_area_L.off	Allen_cerebral_aqueduct_R.off	106	76	8056	0.046014	175.077	0	0
Allen_amygdalohippocampal_area_L.off	Allen_cerebral_peduncle_crus_cerebri_L.off	106	462	48972	0.03958	1237.29	1	17
Allen_amygdalohippocampal_area_L.off	Allen_cerebral_peduncle_crus_cerebri_R.off	106	462	48972	0.039051	1254.05	0	0
Allen_amygdalohippocampal_area_L.off	Allen_cingulate_gyrus_caudal_posterior_part_L.off	106	4386	464916	0.155933	2981.51	0	0
Allen_amygdalohippocampal_area_L.off	Allen_cingulate_gyrus_caudal_posterior_part_R.off	106	4386	464916	0.141675	3281.57	0	0
Allen_amygdalohippocampal_area_L.off	Allen_cingulate_gyrus_rostral_anterior_part_L.off	106	3508	371848	0.115403	3222.17	0	0
Allen_amygdalohippocampal_area_L.off	Allen_cingulate_gyrus_rostral_anterior_part_R.off	106	3508	371848	0.125631	2959.84	0	0
Allen_amygdalohippocampal_area_L.off	Allen_claustrum_L.off	106	3350	355100	0.109749	3235.56	0	0
Allen_amygdalohippocampal_area_L.off	Allen_claustrum_R.off	106	3352	355312	0.120474	2949.28	0	0
Allen_amygdalohippocampal_area_L.off	Allen_corpus_callosum_L.off	106	6034	639604	0.209679	3050.4	0	0
Allen_amygdalohippocampal_area_L.off	Allen_corpus_callosum_R.off	106	6034	639604	0.187719	3407.24	0	0
Allen_amygdalohippocampal_area_L.off	Allen_cuneus_L.off	106	6032	639392	0.191373	3341.08	0	0
Allen_amygdalohippocampal_area_L.off	Allen_cuneus_R.off	106	6032	639392	0.204174	3131.6	0	0
Allen_amygdalohippocampal_area_L.off	Allen_dorsal_lateral_geniculate_nucleus_L.off	106	170	18020	0.030631	588.293	0	0
Allen_amygdalohippocampal_area_L.off	Allen_dorsal_lateral_geniculate_nucleus_R.off	106	170	18020	0.022939	785.562	0	0
Allen_amygdalohippocampal_area_L.off	Allen_external_segment_of_globus_pallidus_L.off	106	638	67628	0.045473	1487.21	0	0
Allen_amygdalohippocampal_area_L.off	Allen_external_segment_of_globus_pallidus_R.off	106	638	67628	0.037022	1826.7	0	0
Allen_amygdalohippocampal_area_L.off	Allen_fornix_L.off	106	644	68264	0.086056	793.251	0	0
Allen_amygdalohippocampal_area_L.off	Allen_fornix_R.off	106	644	68264	0.036553	1867.53	0	0
Allen_amygdalohippocampal_area_L.off	Allen_fourth_ventricle_L.off	106	426	45156	0.032823	1375.74	0	0
Allen_amygdalohippocampal_area_L.off	Allen_fourth_ventricle_R.off	106	426	45156	0.032968	1369.69	0	0
Allen_amygdalohippocampal_area_L.off	Allen_frontal_agranular_insular_cortex_area_Fl_L.off	106	88	9328	0.022326	417.809	0	0
Allen_amygdalohippocampal_area_L.off	Allen_frontal_agranular_insular_cortex_area_Fl_R.off	106	88	9328	0.021737	429.13	0	0
Allen_amygdalohippocampal_area_L.off	Allen_frontal_operculum_L.off	106	1330	140980	0.058513	2409.38	0	0
Allen_amygdalohippocampal_area_L.off	Allen_frontal_operculum_R.off	106	1330	140980	0.057873	2436.02	0	0
Allen_amygdalohippocampal_area_L.off	Allen_frontal_pole_L.off	106	2116	224296	0.074973	2991.69	0	0
Allen_amygdalohippocampal_area_L.off	Allen_frontal_pole_R.off	106	2116	224296	0.080466	2787.46	0	0
Allen_amygdalohippocampal_area_L.off	Allen_frontomarginal_gyrus_L.off	106	1084	114904	0.05198	2210.54	0	0
Allen_amygdalohippocampal_area_L.off	Allen_frontomarginal_gyrus_R.off	106	1084	114904	0.051829	2216.98	0	0
Allen_amygdalohippocampal_area_L.off	Allen_gyrus_ambiens_L.off	106	180	19080	0.027599	691.329	1	88
Allen_amygdalohippocampal_area_L.off	Allen_gyrus_ambiens_R.off	106	180	19080	0.023582	809.092	0	0
Allen_amygdalohippocampal_area_L.off	Allen_gyrus_rectus_straight_gyrus_L.off	106	1866	197796	0.074861	2642.18	0	0
Allen_amygdalohippocampal_area_L.off	Allen_gyrus_rectus_straight_gyrus_R.off	106	1866	197796	0.067457	2932.18	0	0
Allen_amygdalohippocampal_area_L.off	Allen_habenular_nuclei_L.off	106	110	11660	0.023178	503.063	0	0
Allen_amygdalohippocampal_area_L.off	Allen_habenular_nuclei_R.off	106	110	11660	0.023382	498.674	0	0
Allen_amygdalohippocampal_area_L.off	Allen_head_of_caudate_L.off	106	2466	261396	0.09057	2886.12	0	0
Allen_amygdalohippocampal_area_L.off	Allen_head_of_caudate_R.off	106	2466	261396	0.087143	2999.62	0	0
Allen_amygdalohippocampal_area_L.off	Allen_head_of_hippocampus_L.off	106	516	54696	0.035171	1555.14	1	390
Allen_amygdalohippocampal_area_L.off	Allen_head_of_hippocampus_R.off	106	516	54696	0.041188	1327.96	0	0
Allen_amygdalohippocampal_area_L.off	Allen_hypothalamus_L.off	106	178	18868	0.046457	406.139	0	0
Allen_amygdalohippocampal_area_L.off	Allen_hypothalamus_R.off	106	178	18868	0.025018	754.177	0	0
Allen_amygdalohippocampal_area_L.off	Allen_inferior_cerebellar_peduncle_L.off	106	112	11872	0.023561	503.884	0	0
Allen_amygdalohippocampal_area_L.off	Allen_inferior_cerebellar_peduncle_R.off	106	112	11872	0.022361	530.924	0	0
Allen_amygdalohippocampal_area_L.off	Allen_inferior_colliculus_L.off	106	168	17808	0.025898	687.621	0	0
Allen_amygdalohippocampal_area_L.off	Allen_inferior_colliculus_R.off	106	168	17808	0.023911	744.762	0	0
Allen_amygdalohippocampal_area_L.off	Allen_inferior_frontal_gyrus_opercular_part_L.off	106	2974	315244	0.117091	2692.3	0	0
Allen_amygdalohippocampal_area_L.off	Allen_inferior_frontal_gyrus_opercular_part_R.off	106	2974	315244	0.09593	3286.19	0	0
Allen_amygdalohippocampal_area_L.off	Allen_inferior_frontal_gyrus_triangular_part_L.off	106	5096	540176	0.15405	3506.5	0	0
Allen_amygdalohippocampal_area_L.off	Allen_inferior_frontal_gyrus_triangular_part_R.off	106	5096	540176	0.17839	3028.06	0	0
Allen_amygdalohippocampal_area_L.off	Allen_inferior_horn_of_lateral_ventricle_L.off	106	1328	140768	0.056833	2476.87	1	53
Allen_amygdalohippocampal_area_L.off	Allen_inferior_horn_of_lateral_ventricle_R.off	106	1328	140768	0.056447	2493.81	0	0
Allen_amygdalohippocampal_area_L.off	Allen_inferior_occipital_gyrus_L.off	106	4628	490568	0.140136	3500.66	0	0
Allen_amygdalohippocampal_area_L.off	Allen_inferior_occipital_gyrus_R.off	106	4628	490568	0.145248	3377.45	0	0
Allen_amygdalohippocampal_area_L.off	Allen_inferior_olive_L.off	106	124	13144	0.022245	590.874	0	0
Allen_amygdalohippocampal_area_L.off	Allen_inferior_olive_R.off	106	124	13144	0.021868	601.061	0	0
Allen_amygdalohippocampal_area_L.off	Allen_inferior_temporal_gyrus_L.off	106	7058	748148	0.218027	3431.45	0	0
Allen_amygdalohippocampal_area_L.off	Allen_inferior_temporal_gyrus_R.off	106	7058	748148	0.215673	3468.9	0	0
Allen_amygdalohippocampal_area_L.off	Allen_ingulo_parahippocampal_isthmus_L.off	106	246	26076	0.026981	966.458	0	0
Allen_amygdalohippocampal_area_L.off	Allen_ingulo_parahippocampal_isthmus_R.off	106	246	26076	0.025907	1006.52	0	0
Allen_amygdalohippocampal_area_L.off	Allen_internal_segment_of_globus_pallidus_L.off	106	454	48124	0.0335	1436.54	0	0
Allen_amygdalohippocampal_area_L.off	Allen_internal_segment_of_globus_pallidus_R.off	106	454	48124	0.032803	1467.06	0	0
Allen_amygdalohippocampal_area_L.off	Allen_lateral_dorsal_nucleus_of_thalamus_L.off	106	222	23532	0.025849	910.364	0	0
Allen_amygdalohippocampal_area_L.off	Allen_lateral_dorsal_nucleus_of_thalamus_R.off	106	222	23532	0.025128	936.485	0	0
